major,course_section,grad_class,sport,born,subject,exercise,height_feet,height_inches,social_media,color,cereal,books,fight,hours_sleep,minutes_screen,professor_age,expected_grade,calculus_grade,zodiac
Neuroscience and Psychology,DSCI 101 - 002,Junior,Cubs,Illinois,Science,60 minutes,5,1,TikTok,Red,FALSE,200,Taco,9,4.5,35,B,A,Leo
Psychology,DSCI 101 - 002,Junior,None of the above,Illinois,None of the above,120,5,1,TikTok,Pink,FALSE,300,Taco,6,360,32,B,N/A,Taurus
Mathematics,DSCI 101 - 002,Junior,Cubs,Illinois,Social studies,10,5,4,YouTube,Green,FALSE,100,Hot Dog,7,100,33,A,A,Aries
Bioinformatics,STAT 203 - 002,Senior,Bears,US West,Math,60,5,10,TikTok,Blue,FALSE,200,Taco,6,5,35,A,A,Scorpio
Psychology,DSCI 101 - 002,Freshman,Cubs,Illinois,Science,60,5,2,TikTok,Pink,FALSE,80,Grilled Cheese,8,240,37,A,N/A,Cancer
Biomedical Engineering,STAT 203 - 002,Sophomore,Bears,Illinois,Math,30 - 60 ,5,3,TikTok,Green,TRUE,10,Taco,7,360,35,B,B,Pisces
Computer Engineering,STAT 203 - 001,Junior,White Sox,Illinois,Math,60 minutes,5,7,YouTube,Purple,FALSE,200,Grilled Cheese,7,480,30,B,C,Libra
Computer Engineering ,STAT 203 - 001,Junior,None of the above,US Midwest (other than IL),Science,90,6,0,Instagram,Purple,TRUE,30,Taco,8.5,4,38,B,A,Libra
"Psychology, Biology",DSCI 101 - 002,Sophomore,Cubs,US Northeast,Science,30 min,5,1,TikTok,Red,TRUE,200,Grilled Cheese,7,120,43,B,N/A,Aries
BBA Econ and BA History,STAT 203 - 002,Junior,White Sox,Illinois,Social studies,30,5,10,YouTube,Green,FALSE,250,Taco,7.5,180,35,A,N/A,Libra
Computer Engineer ,STAT 203 - 001,Junior,Bears,Illinois,Social studies,20,5,7,YouTube,Yellow,FALSE,10,Taco,7,160,35,A,A,Aquarius
