major,course_section,grad_class,sport,born,subject,exercise,height_feet,height_inches,social_media,color,cereal,books,fight,professor_age,grade,zodiac
Neuroscience,DSCI 101 - 001,Junior,Bears,US Midwest (other than IL),Math,50,5,2,Instagram,Purple,No,20-Nov,Taco,36,A,Cancer
psychology,DSCI 101 - 001,Junior,Bears,US Northeast,Arts,30,5,1,Instagram,Blue,No,21-50,Hot Dog,32,B,Gemini
Information Systems,DSCI 101 - 001,Senior,Cubs,US West,Arts,120,5,6,Instagram,Purple,No,100+,Taco,30,A,Aquarius
"Criminal Justice, and Psychology ",DSCI 101 - 001,Sophomore,None of the above,US Midwest (other than IL),Social studies,0,5,5,TikTok,Black,No,51-100,Taco,42,B,Capricorn
Applied Mathematics,DSCI 101 - 001,Senior,Cubs,US South,Math,45,5,9,TikTok,Pink,Yes,100+,Grilled Cheese,33,C,Scorpio
Computer Science,STAT 203 - 002,Senior,Bears,Outside of the US,Math,60,5,5,Instagram,Green,No,20-Nov,Grilled Cheese,27,A,Capricorn
Criminal Justice & Criminology; Psychology ,DSCI 101 - 001,Sophomore,Chicago Fire,Illinois,None of the above,75,5,1,None of the above,Red,Yes,100+,Hot Dog,the 30's range,A,Leo
Chemistry ,STAT 203 - 002,Junior,None of the above,US Midwest (other than IL),English,15,5,6,Instagram,Green,No,100+,Hot Dog,40,A,Libra
Environmental Engineering ,STAT 203 - 003,Junior,None of the above,Illinois,Arts,0,5,3,TikTok,Blue,No,51-100,Taco,30,B,Scorpio
Political Science,STAT 203 - 003,Freshman,Blackhawks,US Northeast,Social studies,60,6,0,Instagram,Blue,Yes,100+,Hot Dog,37,A,Scorpio
Computer Science ,DSCI 101 - 001,Sophomore,Cubs,Outside of the US,English,70,5,0,TikTok,Blue,No,21-50,Taco,35,B,Virgo
Computer Science ,STAT 203 - 003,Junior,Blackhawks,US Midwest (other than IL),Science,30,5,4,TikTok,Blue,No,51-100,Hot Dog,38,A,Aquarius
Data Science,STAT 203 - 002,Freshman,Bears,US Midwest (other than IL),Social studies,45,5,10,Instagram,Blue,No,100+,Grilled Cheese,35,A,Cancer
Data Science,DSCI 101 - 001,Junior,Chicago Sky,Illinois,Arts,120,5,5,TikTok,Pink,No,100+,Taco,34,A,Gemini
Statistics,DSCI 101 - 001,Freshman,None of the above,Illinois,Math,90,5,3,None of the above,Yellow,No,20-Nov,Grilled Cheese,35,A,Cancer
Statistics,STAT 203 - 002,Freshman,None of the above,Illinois,Math,90,5,3,None of the above,Yellow,No,21-50,Grilled Cheese,35,A,Cancer
Applied Mathematics,DSCI 101 - 001,Junior,Bears,Illinois,Math,30,5,8,TikTok,Blue,No,100+,Grilled Cheese,40,B,Pisces
Biomedical Engineering,STAT 203 - 002,Freshman,None of the above,US West,Science,210,6,4,Instagram,Blue,No,20-Nov,Taco,34,B,Aquarius
Computer Science,DSCI 101 - 001,Sophomore,None of the above,Outside of the US,Math,30,5,7,TikTok,Black,No,20-Nov,Grilled Cheese,33,A,Aquarius
biomedical engineering,STAT 203 - 002,Junior,None of the above,Illinois,Science,120,5,8,None of the above,Black,No,100+,Taco,29,A,Pisces
Computer science ,STAT 203 - 002,Sophomore,Bears,Illinois,Science,90,5,9,Instagram,Red,No,100+,Grilled Cheese,20,A,Sagittarius
Biochemistry ,STAT 203 - 002,Sophomore,None of the above,Outside of the US,Science,40,5,5,Instagram,Green,No,21-50,Grilled Cheese,34,A,Pisces
Biomedical Engineering,STAT 203 - 003,Junior,Bears,Illinois,Math,15,6,0,TikTok,Blue,No,21-50,Taco,41,A,Leo
Data science,DSCI 101 - 001,Freshman,Bears,Outside of the US,Science,60,5,2,Snapchat,Black,No,21-50,Taco,34,A,Gemini
Computer Science,STAT 203 - 002,Sophomore,Cubs,US West,Math,90,5,11,Instagram,Purple,No,100+,Taco,35,A,Virgo
Biomedical Engineering,STAT 203 - 002,Junior,Cubs,Illinois,Math,90,5,7,Snapchat,Black,No,21-50,Grilled Cheese,33,A,Taurus
Data Science,STAT 203 - 001,Freshman,None of the above,US Midwest (other than IL),Science,30,5,9,None of the above,Purple,Yes,100+,Grilled Cheese,41,A,Aries
Biochemistry,STAT 203 - 003,Freshman,Bears,US Midwest (other than IL),Science,30,5,5,Instagram,Pink,No,100+,Taco,40,A,Gemini
Psychology ,DSCI 101 - 001,Junior,Blackhawks,Illinois,Social studies,90,5,9,TikTok,Purple,No,21-50,Grilled Cheese,38-40,C,Aries
chemistry,STAT 203 - 002,Freshman,None of the above,Illinois,Arts,5,5,4,X.com (Twitter),Purple,Yes,51-100,Grilled Cheese,38,A,Leo
Psychology ,DSCI 101 - 001,Junior,Cubs,US West,Social studies,30,5,4,Instagram,Pink,No,51-100,Hot Dog,29,A,Virgo
Computer Science,STAT 203 - 002,Sophomore,Blackhawks,US Midwest (other than IL),Science,60,5,10,Instagram,Blue,No,100+,Taco,30,A,Libra
Psychology ,DSCI 101 - 001,Junior,Cubs,Outside of the US,Social studies,45,5,6,TikTok,Red,No,21-50,Taco,36,C,Scorpio
Computer Science,STAT 203 - 003,Junior,None of the above,US Northeast,Science,90,6,0,Instagram,Black,No,51-100,Hot Dog,35,A,Leo
Pure Math,STAT 203 - 003,Junior,Blackhawks,US South,Social studies,60,5,7,Snapchat,Green,No,100+,Taco,38,A,Leo
psychology,DSCI 101 - 001,Senior,Cubs,US Midwest (other than IL),Math,15,5,7,TikTok,Yellow,No,51-100,Taco,35,A,Virgo
"Cognitive/Behavioral Neuroscience, Psychology",DSCI 101 - 001,Junior,Cubs,US Midwest (other than IL),Social studies,35,5,3,TikTok,Pink,No,20-Nov,Taco,30,A,Pisces
Computer Science ,STAT 203 - 002,Freshman,Bears,US West,English,60,6,1,TikTok,Red,Yes,100+,Taco,20,B,Aquarius
Applied Math,STAT 203 - 003,Junior,Bears,US Midwest (other than IL),Math,10,5,7,Instagram,Blue,No,51-100,Taco,30,A,Virgo
Mathematics,STAT 203 - 001,Sophomore,None of the above,Illinois,Arts,,5,8,None of the above,Green,No,100+,Grilled Cheese,34,A,Libra
Secondary Education and Mathematics,STAT 203 - 002,Sophomore,None of the above,Illinois,Arts,30,5,7,Instagram,Purple,No,20-Nov,Grilled Cheese,40,A,Aquarius
Biochem ,STAT 203 - 002,Junior,White Sox,Outside of the US,Science,30,5,5,Instagram,Purple,No,51-100,Taco,33,B,Aquarius
Computer Science,STAT 203 - 001,Junior,Bears,Illinois,Math,60,5,9,Instagram,Purple,No,21-50,Taco,35,B,Virgo
Biochemistry,STAT 203 - 002,Sophomore,None of the above,Outside of the US,None of the above,30,6,5,TikTok,Red,No,10-Jan,Hot Dog,35,A,Scorpio
Cognitive and Behavioral Neuroscience ,DSCI 101 - 001,Junior,None of the above,Outside of the US,Math,0,5,3,TikTok,Purple,No,21-50,Grilled Cheese,35,A,Pisces
Statistics and Economics ,STAT 203 - 001,Freshman,None of the above,US South,Math,150,6,0,None of the above,Purple,No,51-100,Hot Dog,32,A,Sagittarius
biochemistry,STAT 203 - 001,Freshman,Cubs,US West,Science,60,5,9,TikTok,Purple,No,100+,Hot Dog,34,B,Taurus
Cognitive and Behavioral Neuroscience,DSCI 101 - 001,Junior,Bears,Outside of the US,Math,30,5,2,Instagram,Black,No,21-50,Taco,30,A,Leo
