Student,major,course_section,grad_class,sport,born,subject,exercise,height_feet,height_inches,social_media,color,cereal,books,fight,professor_age,grade,zodiac
44,Criminal Justice,STAT 103 - 003,Sophomore,Blackhawks,Illinois,English,30,5,4,TikTok,Green,No,10,Hot Dog,35,A,Virgo
45,Psychology ,DSCI 101 - 002,Freshman,None of the above,US West,Arts,60,6,4,Instagram,Black,Yes,200-250,Grilled Cheese,45,B,Pisces
46,Nursing,STAT 103 - 001,Freshman,Bears,Illinois,Science,60,5,1,TikTok,Yellow,No,103,Taco,32,B,Taurus
47,Marketing,STAT 103 - 001,Freshman,Chicago Fire,Illinois,English,150,5,8,Instagram,Blue,No,100+,Grilled Cheese,29,A,Pisces
48,Finance,STAT 103 - 001,Freshman,Blackhawks,Illinois,English,90,5,6,Instagram,Red,No,40,Taco,32,A,Aquarius
49,Psychology,STAT 103 - 001,Freshman,None of the above,Illinois,Social studies,100,5,4,Instagram,Green,No,200,Grilled Cheese,43,A,Taurus
50,Computer Science,STAT 203 - 002,Junior,Blackhawks,US Midwest (other than IL),Science,60,5,10,Instagram,Blue,Yes,1000,Taco,30,B,Libra
51,Engineering ,STAT 203 - 002,Junior,Blackhawks,US West,Math,60,5,8,TikTok,Orange,No,Too many…..like 90? 100? (Big family with big readers),Hot Dog,28,A,Capricorn
52,Biochemistry,STAT 203 - 002,Sophomore,Cubs,Illinois,Math,30,5,8,Instagram,Green,No,30,Hot Dog,31,A,Aquarius
53,Exercise Science ,STAT 103 - 001,Junior,Bears,Illinois,Math,90,5,11,TikTok,Red,Yes,30,Taco,45,A,Sagittarius
54,Biochemistry,STAT 203 - 002,Sophomore,Cubs,Illinois,Math,60,5,5,Instagram,Black,No,20,Hot Dog,27,A,Aries
55,Nursing,STAT 103 - 001,Freshman,Cubs,Outside of the US,Arts,45,5,4,Instagram,Green,No,200,Grilled Cheese,33,A,Virgo
56,Chemistry,STAT 203 - 002,Sophomore,None of the above,US Midwest (other than IL),Science,120,5,0,TikTok,Pink,No,so many. bookshelves in bedrooms and computer room. over 100,Grilled Cheese,doesnt look a day over 20,B,Capricorn
57,Data Science,DSCI 101 - 002,Freshman,Bears,US Midwest (other than IL),Social studies,60,5,6,TikTok,Purple,Yes,70,Grilled Cheese,32,B,Aries
58,Political Science and Chemistry,STAT 203 - 002,Junior,Cubs,US Midwest (other than IL),Science,30,5,8,Instagram,Purple,No,120,Grilled Cheese,27,A,Pisces
59,Nursing ,DSCI 101 - 002,Freshman,Chicago Fire,Outside of the US,Math,30,5,2,Snapchat,Green,No,3,Taco,35,A,Sagittarius
60,Information Technology (Computer Science),STAT 203 - 002,Senior,None of the above,Outside of the US,Math,60,5,8,Instagram,Blue,No,20,Taco,34,B,Leo
61,Psychology ,DSCI 101 - 002,Senior,Bears,Illinois,Arts,60,5,8,Instagram,Green,No,50,Taco,35,A,Leo
62,Statistics,DSCI 101 - 002,Senior,Blackhawks,Illinois,Math,30,5,3,Instagram,Red,No,110,Taco,36,B,Cancer
63,Data Science,DSCI 101 - 002,Freshman,Bears,Outside of the US,Science,90,5,9,Snapchat,Black,Yes,150,Hot Dog,43,A,Pisces
64,Psychology ,DSCI 101 - 002,Freshman,Cubs,US Midwest (other than IL),Science,30,5,5,TikTok,Pink,No,10,Taco,41,A,Gemini
65,Neuroscience: Cognitive and Behavioral,DSCI 101 - 002,Senior,None of the above,US Midwest (other than IL),Science,60,5,10,Instagram,Blue,No,900,Taco,43,A,Leo
66,Psychology ,DSCI 101 - 002,Junior,Cubs,US South,None of the above,20,5,5,Instagram,Green,No,200,Taco,38,A,Pisces
67,"History, Pre-Law",STAT 103 - 003,Freshman,White Sox,Illinois,Social studies,30,6,2,Instagram,Red,No,1500,Taco,43,B,Capricorn
68,Computer Science,STAT 203 - 002,Junior,Bears,Outside of the US,Science,35,5,10,Instagram,Blue,No,20-Oct,Taco,Trick question to ask but I would say 25 or older,A,Scorpio
69,Communications ,STAT 103 - 001,Sophomore,Cubs,US Midwest (other than IL),English,90,5,4,TikTok,Blue,No,100+,Hot Dog,38,A,Cancer
70,"Journalism (possibly Economics as well, thats why Im here)",STAT 103 - 001,Sophomore,White Sox,US South,Social studies,120,6,0,Instagram,Red,No,100,Hot Dog,35,B,Libra
71,PR & Advertising,STAT 103 - 003,Freshman,Cubs,Illinois,English,45,4,11,TikTok,Pink,No,20-30,Taco,35,A,Aries
72,Chemistry,STAT 203 - 002,Sophomore,None of the above,US South,None of the above,30,5,6,X.com (Twitter),Pink,No,20+,Grilled Cheese,40,A,Pisces
73,Biology - Ecology // Cognitive & Behavorial Neuroscience,DSCI 101 - 002,Senior,Cubs,Illinois,Science,120,5,2,Instagram,Purple,No,150,Taco,37,A,Sagittarius
