date,total,age_0_17,age_18_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80,female,male
7/11/2021,69,18,13,15,8,11,1,3,0,34,35
3/4/2022,118,30,20,26,14,11,7,6,4,70,48
1/29/2023,160,31,34,19,24,13,22,11,6,88,72
9/20/2020,108,14,31,28,13,9,5,7,1,57,51
8/5/2021,479,76,149,130,56,34,21,8,5,233,244
9/27/2021,475,121,101,90,47,56,40,10,10,249,225
9/23/2020,391,49,118,89,59,38,27,6,5,189,196
12/2/2022,620,96,99,97,78,77,83,55,35,374,246
12/11/2020,1670,235,380,311,266,225,136,79,38,863,805
6/7/2020,110,3,29,30,16,13,8,7,4,53,57
5/29/2021,89,17,16,17,15,15,7,1,1,42,47
3/20/2021,277,31,90,67,37,24,18,5,5,135,142
8/28/2021,359,80,91,62,51,31,25,11,8,186,172
6/2/2022,1211,279,268,230,160,133,87,31,23,708,500
3/28/2020,248,2,27,54,36,44,38,28,19,138,110
4/10/2022,319,63,49,81,49,39,16,18,4,189,128
9/8/2022,571,119,87,109,67,74,56,29,29,349,221
8/7/2020,417,65,108,83,54,48,35,14,10,198,218
1/16/2021,624,84,141,104,111,82,63,28,10,355,269
8/20/2020,422,48,120,85,64,58,33,10,4,235,186
4/3/2021,469,61,130,113,69,51,27,12,6,235,233
6/5/2022,589,68,118,142,96,72,48,30,15,347,241
9/18/2020,356,41,101,74,44,45,34,8,9,163,193
8/29/2022,844,208,119,118,118,122,86,42,31,454,389
6/23/2021,47,7,10,11,9,6,2,0,2,28,19
11/19/2021,683,174,120,149,95,64,48,24,9,361,322
7/14/2022,941,127,163,176,144,131,102,63,35,535,405
9/17/2020,391,38,122,88,53,40,30,11,9,188,202
4/24/2022,398,74,63,97,64,49,28,15,8,226,169
8/10/2022,799,111,160,131,103,127,78,56,33,443,354
1/12/2021,1089,139,288,191,150,132,105,50,34,566,522
2/21/2021,158,16,42,31,27,23,10,5,4,86,72
3/5/2022,93,20,12,18,19,11,8,3,2,52,41
5/20/2020,771,58,210,132,138,107,72,36,18,402,362
8/15/2021,286,49,61,79,34,30,20,8,5,138,147
8/3/2020,428,52,128,88,68,47,24,14,7,216,211
4/11/2020,397,7,53,71,65,83,54,38,26,184,213
11/1/2020,733,77,184,151,114,96,53,36,22,393,339
8/12/2021,592,60,173,180,79,49,26,19,6,287,305
9/18/2021,309,62,61,69,41,38,23,11,4,164,145
5/23/2022,1356,334,255,238,163,181,100,56,29,763,591
9/8/2020,369,36,120,80,55,40,23,10,5,181,188
9/17/2021,439,94,92,96,61,41,30,12,13,244,195
8/15/2022,734,97,116,134,124,113,70,48,32,436,298
7/27/2022,933,132,194,211,120,110,91,49,26,552,379
7/22/2021,224,37,65,53,21,24,12,10,2,120,103
6/2/2020,247,14,35,45,44,31,34,18,26,120,114
11/12/2022,240,33,37,38,32,37,31,21,11,138,102
7/12/2020,97,7,33,15,19,11,3,7,2,52,45
8/29/2020,233,24,72,37,41,25,22,12,0,127,106
4/14/2020,666,16,102,121,122,126,78,51,50,356,310
12/16/2022,646,140,79,92,71,71,92,62,39,338,307
